"REF_DATE","GEO","Alternative measures","UOM","SCALAR_FACTOR","VALUE"
"1990-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.2
"1990-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4
"1990-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4
"1990-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4
"1990-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.1
"1990-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.1
"1990-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4
"1990-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3.9
"1990-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4
"1990-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4
"1990-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.1
"1990-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.1
"1991-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.2
"1991-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.3
"1991-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4.1
"1991-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",4
"1991-05","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3.7
"1991-06","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3.8
"1991-07","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3.4
"1991-08","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3.3
"1991-09","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",3
"1991-10","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.4
"1991-11","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2.2
"1991-12","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",2
"1992-01","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.7
"1992-02","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"1992-03","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.3
"1992-04","Canada","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","units",1.2
